YEAR,L_SHARE,OUTPUT,K_STR,K_EQ,REL_P_EQ,DPR_ST,DPR_EQ,L_U,L_S,W_U,W_S,SKILL_PREMIUM,LABOR_INPUT_RATIO
1987,0.917883058772268,142.74787734194092,9.380453425830881,1.4297561919954902,1.0,0.0294117647058823,0.1794871794871794,0.0,0.0,0.0,0.0,1.925632705639595,2.144722877191521
1988,0.8963628583654257,157.0382797010828,9.80127145407654,1.54736983850644,0.9500747816442774,0.0273972602739726,0.1860465116279069,9.851460510078969,20.80724730209073,10.398648324730697,18.738279380951887,1.8098454529663437,2.1282039790941982
1989,0.8819652329184392,165.48075198512987,10.19889169970137,1.6571048366487502,0.9038180442807321,0.0259740259740259,0.1777777777777777,9.80061387041819,21.100360840337668,10.783607326938592,19.828924733792363,1.870739595903114,2.555885048671415
1990,0.8471865626874625,175.27659039476995,10.575681746857011,1.81732440383077,0.8561909623063513,0.0246913580246913,0.1836734693877552,9.723201777204045,21.49664730526955,11.218396547882678,20.93137361241786,1.8486386349179365,2.265066715156963
1991,0.9060691117038004,174.12739434478564,10.77380396307357,1.9198607877942897,0.8190151382042606,0.024390243902439,0.18,9.666130263078424,21.85559576296822,11.637230227969303,22.959857796946828,2.071404389916838,1.9209045608525548
1992,0.8764847650197969,185.07216433550843,10.96622031750509,2.0247886872864003,0.7703925033557711,0.0235294117647058,0.1764705882352941,9.551973492832767,22.232620409192442,12.059371864810378,24.237821740124563,1.887099025265716,2.14984354249498
1993,0.9314895558172348,187.49292175453368,11.30330564785466,2.04411527189902,0.7267644146752844,0.0222222222222221,0.196078431372549,9.522419471266343,22.284393914233895,12.3294163859402,24.940928608438487,2.129588791278588,2.0490802854114603
1994,0.9249398251763016,188.4807301366163,11.20238436209741,2.11990155174101,0.6952151400738843,0.0215053763440858,0.1923076923076923,9.412742837793921,23.079184172403018,12.93689061944931,28.19858550683457,1.974928283513846,2.429269168121729
1995,0.8950018317893965,187.38512949039267,11.2450186540009,2.25920644975144,0.6535027182946822,0.0210526315789473,0.1851851851851851,9.286255155418466,23.447470109758843,13.359747704498018,29.434662829527657,2.151906041027206,2.8517134343209607
1996,0.8474139132859334,198.63809771238704,11.286636954221601,2.50007157224394,0.6064656149242227,0.0206185567010308,0.1818181818181817,9.21227682864951,23.903906577888744,13.837197818481647,31.514284181329007,2.404621568628634,2.716666607725508
1997,0.9492917383903756,209.21164056724243,11.2235123149909,2.97482845654967,0.5662120458808116,0.0294117647058824,0.180327868852459,9.17124896944405,24.557552435683995,14.433754112722776,34.7328724662769,2.315381189262769,2.6177342739237197
1998,0.9268361308702112,226.21225010633773,11.44343672714951,3.71064911295988,0.5180442033154055,0.0277777777777777,0.1764705882352941,9.12988170237541,24.900476928124732,14.922670454618482,36.56405243817188,2.6245039156202807,2.6185870928500106
1999,0.8682935716001027,237.1249557614922,11.80029759180756,4.63844166419717,0.47066116806736263,0.0260869565217392,0.1772151898734177,9.143479167206605,25.155809987952715,15.402827855773229,39.07542839371112,2.3799059684411827,2.9048959308756115
2000,0.8507372529583049,240.62624165288833,12.150979443201571,5.56597677380978,0.4317115486378693,0.0245901639344262,0.1868131868131868,9.171309646330892,25.231245374564548,15.811721095794383,42.10879470588446,2.916368772537532,3.0902998324911244
2001,0.8544682727040018,251.54420796670928,12.745789416093551,6.54065489935891,0.3940239666395768,0.0232558139534884,0.1919191919191919,9.148370031354633,25.22006236192619,16.179773987426664,43.6270291871067,2.616735709077126,2.628864578403023
2002,0.8032501256491875,261.67555292259084,13.706867568867619,7.66604223414341,0.36386810052785795,0.0214285714285714,0.1909090909090909,9.095445794037431,25.251218850089,16.575447612148473,43.960501861849096,2.4816144704036733,2.910066587896396
2003,0.7868830634424999,289.23492174923445,13.931308916206252,8.971062029608671,0.3321637621864851,0.0277777777777777,0.1967213114754098,8.947042907296234,26.270182795307566,17.444794199316412,49.31119554735079,3.1496266417227736,3.085924494225546
2004,0.7418102375487403,297.08853448377477,14.53031076258669,10.30873655656666,0.3118898269439929,0.0246913580246913,0.1911764705882352,8.935187671235818,26.0696940879025,17.781373082923835,51.16389059171752,2.720054682848614,2.729794200542023
2005,0.7318627023868709,308.755528634613,15.47498818589474,11.468978018675909,0.2920120745007541,0.0215053763440858,0.1931034482758621,8.834084471144498,25.700415573220923,18.015602973869623,51.49015259941545,2.75737287786982,2.6155952517860714
2006,0.7290330465389128,311.49100342568266,16.43513534863058,12.04659085106071,0.27154907496304725,0.0239234449760765,0.1933333333333333,8.700969023653858,25.133786918877444,18.094147456327043,51.566238831549185,2.8187292940318294,2.7479705474280567
2007,0.6822842697920257,313.5030980807012,17.14610518366461,12.945416554751901,0.2547452457378451,0.022421524663677,0.1923076923076923,8.431900256661923,26.157363388260688,18.886808508015033,52.91055340056686,2.632088948569391,2.808069273533865
2008,0.6516236718526177,309.4002520572318,18.316503495114368,13.866689244739979,0.23574145354812562,0.024390243902439,0.1878787878787878,8.237867677592059,26.11332638980586,19.21472898910677,51.4235666957112,2.986587131942384,3.727783021148496
2009,0.7072626699425154,294.51080264778005,18.58945830096184,14.25338212010819,0.22838324480601288,0.0253164556962025,0.1963190184049079,8.02537319191883,26.45804149440046,19.67908826781231,55.22255294117666,2.7463100389233417,3.639164082697376
2010,0.7205380298612434,297.40853975582866,18.32078788710971,14.354027272617838,0.20973249811306424,0.0256410256410256,0.1987577639751552,7.752264480454083,27.031833321016034,20.201671514625975,58.56784223751976,3.0639497875720063,3.586228238464212
2011,0.7157590339147735,303.3271869683479,18.2721624977885,14.16450720659339,0.19869040305986455,0.0248962655601659,0.2025316455696202,7.589493216029518,26.94050446129302,20.387943630152144,59.09665299202639,2.503318593655342,3.199865482414396
2012,0.7242834874492475,306.9780697806978,18.11725688791505,14.713571847074101,0.18864892110924922,0.0248962655601659,0.2012578616352202,7.240722765631259,28.642040605843363,21.427751683541803,61.22472986408124,2.9811920272497496,3.769467194829435
2013,0.7225400066544819,303.8673978849707,18.26862833743749,15.3870994435328,0.17942470361884144,0.0241935483870968,0.1999999999999999,7.032907177684574,28.971724286192078,21.901162551049143,62.313001376381756,3.0384206854243376,4.062449815026545
