YEAR,L_SHARE,OUTPUT,K_STR,K_EQ,REL_P_EQ,DPR_ST,DPR_EQ,L_U,L_S,W_U,W_S,SKILL_PREMIUM,LABOR_INPUT_RATIO
1987,0.9360900699532264,299.3316258508175,86.82234121783992,13.109705475271317,1.0,0.0215439856373429,0.1574803149606298,0.0,0.0,0.0,0.0,1.8696708658841488,0.8528078777288647
1988,0.9533137865277788,330.6356226594141,91.73181596569408,14.770672446133933,0.9500747816442774,0.0215231788079469,0.1571428571428571,10.26986599832025,9.510195288773279,8.034536898181587,15.681059902946942,1.733296483183213,0.9374471962168393
1989,0.9491648511256354,348.9426228171724,96.11802630890244,16.51083911394372,0.9038180442807321,0.021505376344086,0.158351409978308,10.430294682623558,9.511542077860552,8.628596600907967,16.42753815241622,1.829715447418165,0.9643352588840666
1990,0.9251593977310144,377.6401810409857,100.0003420667355,18.37318378264847,0.8561909623063513,0.0217391304347825,0.1568627450980392,10.560437429614119,9.537258054613824,9.139757061814572,17.151943141462745,1.834532865152652,0.9499940144765342
1991,0.9390739058584046,399.0665855883247,103.07390955893804,20.49786237402366,0.8190151382042606,0.0224719101123594,0.1564748201438848,10.658089934994312,9.83768173680017,9.634209968996826,18.60293247456763,1.935350244568775,0.7368100020472304
1992,0.9423467723726134,434.7741427233676,106.22013153946673,24.153443181134,0.7703925033557711,0.0213903743315507,0.152276295133438,10.70080499942733,9.890231351232632,9.880229180001155,19.363274157139337,1.9735341587770492,0.8297712182654164
1993,0.9438290805196268,449.50851567377634,109.915939674879,27.38160520113621,0.7267644146752844,0.0212499999999999,0.155937052932761,10.731636137224672,9.886276535234575,10.560410200291225,20.554843482603747,1.9233638391631176,0.8970192194782683
1994,0.918572127053206,466.8168829876463,112.42995319749942,29.72525181973773,0.6952151400738843,0.0211019929660023,0.1588156123822341,10.799433254255502,10.274279345256128,11.133313286919496,22.072884046714332,2.0554464575478555,1.0565201510421254
1995,0.9238158358718142,490.4385964912281,114.04860809045337,31.82558167125179,0.6535027182946822,0.0215175537938845,0.1604621309370988,10.817283423193066,10.505572507198139,11.362397914883882,22.861691325499827,2.216951464806664,1.1308568083733914
1996,0.914163036971286,504.43712140893996,114.40800493870388,34.37234753030786,0.6064656149242227,0.0220264317180616,0.1612903225806451,10.78299838193384,11.329126552287033,11.632055459881444,25.509453102090035,2.2114969513801475,1.0177068477213853
1997,0.953335804447208,521.7998521406008,115.10500913641508,37.02866875536819,0.5662120458808116,0.0221052631578946,0.1608222490931076,10.677484084625814,11.859859275476428,12.028550898445438,28.093623289146834,2.443863489367764,1.09422763521287
1998,0.9351225926212392,542.3490004253509,116.83378228843767,40.16970594344214,0.5180442033154055,0.0219341974077766,0.160609613130129,10.588863089218712,11.95899796802919,12.33957791944403,29.489576075965562,2.787211021295557,1.2226743295203075
1999,0.9317638905273092,558.1798639420115,119.28441208970528,42.67352417475741,0.47066116806736263,0.0216572504708097,0.1631944444444444,10.553802194266726,12.067617542749582,12.927100080991643,31.052055790476945,2.121896031620935,1.172099084416007
2000,0.9167701346355268,580.0604965329848,121.74863843477274,44.81711480245857,0.4317115486378693,0.0223214285714286,0.1641791044776119,10.566969805611896,12.283764616102614,13.455497926085012,32.60401618712098,2.2350859615967944,1.0883085896032545
